INFO  2024-02-12 20:46:38,820  autoreload  Watching for file changes with StatReloader
DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\asyncio\windows_utils.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\flatpages\models.py first seen with mtime 1679329810.8750744

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1679329810.8680766

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1679329811.588661

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1679329812.2979739

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\importlib\resources\_itertools.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1679329812.455596

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1679329810.2921462

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\socketserver.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\celery\utils\dispatch\signal.py first seen with mtime 1701357514.750219

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1679329810.4933698

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\contextlib.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\cryptography\hazmat\primitives\ciphers\modes.py first seen with mtime 1695491374.0826988

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1679329812.4765983

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\template\__init__.py first seen with mtime 1679329812.5771294

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\allauth\account\forms.py first seen with mtime 1695491375.7283247

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\wsgiref\simple_server.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\idna\idnadata.py first seen with mtime 1686023025.6634297

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\email\mime\base.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\queue.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\cryptography\utils.py first seen with mtime 1695491373.9457288

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1686023025.3624282

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\click\_winconsole.py first seen with mtime 1679327610.9777322

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\views\defaults.py first seen with mtime 1679329812.6581297

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\email\mime\text.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\glob.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\dh.py first seen with mtime 1695491374.0656984

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\template\smartif.py first seen with mtime 1679329812.5871298

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\celery\exceptions.py first seen with mtime 1701357514.6302366

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\importlib\resources\_adapters.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\numbers.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\DLLs\_multiprocessing.pyd first seen with mtime 1675778102.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\apps\registry.py first seen with mtime 1679329809.435503

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\asyncio\subprocess.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1679329810.4857962

